fire_year,general_cause_desc,isNaturalCaused,true_cause,assessment_hectares,current_size,fire_spread_rate,fire_type,fire_position_on_slope,weather_conditions_over_fire,temperature,relative_humidity,wind_direction,wind_speed
2006,Lightning,1,,0.4,0.4,1,Ground,Flat,CB Dry,18,47,W,10
2006,Lightning,1,,0.8,0.9,2,Surface,Flat,CB Dry,18,30,NW,10
2006,Railroad,0,Unpredictable Event,0.03,0.01,1,Surface,Upper 1/3,Clear,24,15,NW,5
2006,Forest Industry,0,Hot Exhaust,0.01,0.01,0.1,Surface,Flat,Cloudy,12,60,CLM,0
2006,Lightning,1,,0.2,0.2,1,Crown,Flat,CB Wet,22,60,NW,10
2006,Recreation,0,Unattended Fire,0.01,0.01,0,Surface,Bottom,Cloudy,20,45,W,10
2006,Recreation,0,Unsafe Fire,0.01,0.01,0,Surface,Flat,Cloudy,22,22,W,21
2006,Recreation,0,Unsafe Fire,0.01,0.01,0,Surface,Flat,Cloudy,22,22,W,30
2006,Lightning,1,,0.01,0.01,0.1,Surface,Flat,Clear,32,26,S,15
2006,Oil & Gas Industry,0,Burning Substance,0.01,0.01,0,Surface,Upper 1/3,Rainshowers,2,85,NW,15
2006,Resident,0,Permit Related,1.5,0.8,0.1,Ground,Flat,Clear,18,30,SW,10
2006,Recreation,0,Abandoned Fire,0.01,0.03,0,Ground,Flat,Cloudy,18,40,NW,10
2006,Recreation,0,Unsafe Fire,0.01,0.01,0,Surface,Bottom,Clear,20,56,E,20
2006,Recreation,0,Abandoned Fire,0.01,0.01,0,Surface,Flat,Clear,24,21,S,15
2006,Lightning,1,,0.01,0.01,0.1,Ground,Flat,Cloudy,18,80,SE,10
2006,Recreation,0,Unsafe Fire,0.01,0.01,0,Surface,Flat,Clear,18,30,S,10
2006,Recreation,0,Unsafe Fire,0.01,0.01,0,Surface,Flat,Clear,18,30,S,10
2006,Resident,0,Permit Related,0.01,0.01,0,Surface,Bottom,Cloudy,16,40,W,20
2006,Lightning,1,,0.01,0.01,0.5,Surface,Flat,Cloudy,27.5,52,SE,2
2006,Power Line Industry,0,Insufficient Buffer,0.1,0.1,0,Surface,Flat,Cloudy,27,36,NW,15
2006,Lightning,1,,0.5,0.5,8,Crown,Flat,CB Wet,23,40,S,10
2006,Resident,0,Burning Substance,0.01,0.01,0,Surface,Flat,Clear,20,43,NW,5
2006,Lightning,1,,0.06,0.15,1,Surface,Flat,Cloudy,20,41,SW,12
